match_id,fecha,ronda,home,away,home_goals,away_goals,home_ball_possession,away_ball_possession,home_expected_goals,away_expected_goals,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_tackles,away_tackles,home_passes,away_passes,home_interceptions,away_interceptions
15526044,2026-04-23,6,Cuiabá,Botafogo-SP,1,1,57%,43%,1.08,1.34,17,10,5,3,6,4,20,7,4,3,,,2,4,14,15,350,264,15,10
15526035,2026-04-24,6,Ponte Preta,América Mineiro,1,0,31%,69%,0.88,0.93,10,11,3,4,2,10,29,13,4,2,,,4,2,17,10,221,486,5,7
15526043,2026-04-25,6,Sport Recife,Grêmio Novorizontino,1,0,56%,44%,1.50,0.65,10,10,5,4,3,5,13,21,4,5,,,4,3,9,6,402,302,10,7
15526045,2026-04-26,6,Juventude,Londrina,1,0,41%,59%,0.81,0.45,8,13,5,3,3,8,22,16,3,3,,,3,4,16,12,337,491,9,12
15526037,2026-04-26,6,São Bernardo,Goiás,1,0,45%,55%,2.43,1.58,13,16,5,6,4,4,8,16,3,1,,,6,4,17,13,352,432,6,6
15526040,2026-04-26,6,Ceará,Vila Nova FC,3,3,46%,54%,1.33,1.99,8,11,5,6,3,4,17,12,1,3,,,3,2,17,15,325,395,5,7
15526039,2026-04-26,6,Operário-PR,Fortaleza,0,0,64%,36%,0.59,0.66,21,12,3,2,11,7,9,12,1,3,,,1,3,16,11,484,275,7,10
15526041,2026-04-26,6,Atlético Goianiense,Avaí,2,1,41%,59%,1.72,0.90,16,8,6,4,6,1,22,10,5,4,,,3,4,16,9,323,476,12,5
15526042,2026-04-26,6,Criciúma,CRB,3,1,42%,58%,1.63,1.49,17,17,7,5,9,5,13,12,1,2,,,4,5,12,13,322,447,12,7
16023898,2026-04-27,6,Athletic Club,Náutico,0,1,54%,46%,0.76,0.87,9,15,5,1,8,4,14,15,3,4,,,0,5,18,17,409,351,12,10
15526047,2026-05-02,7,Botafogo-SP,Náutico,1,1,47%,53%,1.19,0.95,10,14,7,3,11,2,18,18,2,2,,,2,7,17,13,282,325,11,3
15526073,2026-05-02,7,Cuiabá,Criciúma,1,1,47%,53%,0.85,0.72,9,9,5,3,3,2,17,10,1,0,,,3,4,14,16,397,451,11,4
