match_id,fase,fecha,home,away,home_goals,away_goals,home_ball_possession,away_ball_possession,home_expected_goals,away_expected_goals,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_tackles,away_tackles,home_passes,away_passes,home_interceptions,away_interceptions
16022839,"Liga 1, Apertura",2026-05-17,Sport Boys,Cusco FC,1,0,48%,52%,2.11,0.45,20,7,7,4,7,3,10,12,3,5,,,4,5,11,12,358,398,8,10
16022837,"Liga 1, Apertura",2026-05-17,Asociación Deportiva Tarma,Comerciantes Unidos,2,0,56%,44%,1.03,1.21,12,15,5,5,3,9,12,13,2,4,,,5,3,20,11,410,292,6,4
16022838,"Liga 1, Apertura",2026-05-17,Deportivo Garcilaso,Universidad Técnica de Cajamarca,2,0,44%,56%,1.29,0.38,12,10,5,3,1,6,11,13,2,3,,,3,3,14,21,271,339,4,5
16022836,"Liga 1, Apertura",2026-05-17,Los Chankas CYC,CD Moquegua,1,0,56%,44%,1.27,0.58,16,14,3,2,5,6,9,11,3,2,1,0,2,2,12,12,370,274,6,6
16147467,"Liga 1, Apertura",2026-05-22,CD Juan Pablo II,Melgar,1,1,44%,56%,1.29,3.34,14,20,5,9,6,4,12,9,0,1,1,0,8,4,11,6,340,440,6,7
16147469,"Liga 1, Apertura",2026-05-23,CD Moquegua,Universitario de Deportes,0,0,41%,59%,1.22,1.04,10,12,3,1,3,3,12,7,2,0,,,1,3,14,18,240,353,12,7
16147471,"Liga 1, Apertura",2026-05-23,Universidad Técnica de Cajamarca,Sport Boys,0,0,45%,55%,0.52,0.77,12,17,1,3,4,4,14,11,1,2,2,1,3,1,13,11,320,401,6,10
16147474,"Liga 1, Apertura",2026-05-23,Cusco FC,Club Atlético Grau,1,0,69%,31%,0.94,1.14,15,9,5,1,4,2,7,11,3,4,,,1,4,9,10,552,250,2,7
16147468,"Liga 1, Apertura",2026-05-24,Alianza Lima,Los Chankas CYC,3,0,49%,51%,2.09,0.94,12,13,6,3,3,1,17,10,0,2,,,3,3,12,16,310,322,15,8
16147473,"Liga 1, Apertura",2026-05-24,Club Sporting Cristal,Asociación Deportiva Tarma,2,1,63%,37%,4.53,0.26,26,3,6,1,12,0,6,15,2,7,0,1,0,4,14,24,508,304,3,7
